field,label,count,rate
clinical_correctness,correct,3,0.150
clinical_correctness,incorrect,8,0.400
clinical_correctness,partial,9,0.450
diagnosis_supported,no,8,0.400
diagnosis_supported,partial,6,0.300
diagnosis_supported,yes,6,0.300
recommendation_safety,mostly_supported,4,0.200
recommendation_safety,potentially_unsafe,2,0.100
recommendation_safety,supported,5,0.250
recommendation_safety,unsupported,9,0.450
hallucination_or_invented_info,minor,5,0.250
hallucination_or_invented_info,no,1,0.050
hallucination_or_invented_info,partial,6,0.300
hallucination_or_invented_info,yes,8,0.400
severity,high,8,0.400
severity,low,5,0.250
severity,medium,7,0.350
spanish_tone,acceptable,2,0.100
spanish_tone,good,18,0.900
